"filename", "language", "TypeScript JSX", "TypeScript", "Less", "comment", "blank", "total"
"d:\vite-npm\file-manager\src\lib\api\index.ts", "TypeScript", 0, 90, 0, 0, 11, 101
"d:\vite-npm\file-manager\src\lib\command\dir\copy.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"d:\vite-npm\file-manager\src\lib\command\dir\delete.ts", "TypeScript", 0, 62, 0, 0, 4, 66
"d:\vite-npm\file-manager\src\lib\command\dir\mkdir.ts", "TypeScript", 0, 8, 0, 0, 4, 12
"d:\vite-npm\file-manager\src\lib\command\dir\move.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"d:\vite-npm\file-manager\src\lib\command\dir\rename.ts", "TypeScript", 0, 7, 0, 0, 2, 9
"d:\vite-npm\file-manager\src\lib\command\file\copy.ts", "TypeScript", 0, 30, 0, 0, 5, 35
"d:\vite-npm\file-manager\src\lib\command\file\delete.ts", "TypeScript", 0, 64, 0, 0, 4, 68
"d:\vite-npm\file-manager\src\lib\command\file\move.ts", "TypeScript", 0, 30, 0, 0, 5, 35
"d:\vite-npm\file-manager\src\lib\command\file\rename.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\vite-npm\file-manager\src\lib\command\file\upload.ts", "TypeScript", 0, 19, 0, 1, 7, 27
"d:\vite-npm\file-manager\src\lib\components\Copy.tsx", "TypeScript JSX", 23, 0, 0, 0, 2, 25
"d:\vite-npm\file-manager\src\lib\components\DirTree.tsx", "TypeScript JSX", 240, 0, 0, 0, 25, 265
"d:\vite-npm\file-manager\src\lib\components\Empty.tsx", "TypeScript JSX", 73, 0, 0, 0, 2, 75
"d:\vite-npm\file-manager\src\lib\components\FileGridCard.tsx", "TypeScript JSX", 246, 0, 0, 2, 19, 267
"d:\vite-npm\file-manager\src\lib\components\FileGridList.tsx", "TypeScript JSX", 7, 0, 0, 0, 3, 10
"d:\vite-npm\file-manager\src\lib\components\FileList.tsx", "TypeScript JSX", 25, 0, 0, 1, 5, 31
"d:\vite-npm\file-manager\src\lib\components\Move.tsx", "TypeScript JSX", 23, 0, 0, 0, 2, 25
"d:\vite-npm\file-manager\src\lib\components\Provider.tsx", "TypeScript JSX", 41, 0, 0, 0, 2, 43
"d:\vite-npm\file-manager\src\lib\components\dirIcon.tsx", "TypeScript JSX", 33, 0, 0, 0, 2, 35
"d:\vite-npm\file-manager\src\lib\enum\file-action.ts", "TypeScript", 0, 9, 0, 0, 1, 10
"d:\vite-npm\file-manager\src\lib\enum\file-status.ts", "TypeScript", 0, 7, 0, 0, 3, 10
"d:\vite-npm\file-manager\src\lib\enum\index.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"d:\vite-npm\file-manager\src\lib\hooks\useChooseFile.tsx", "TypeScript JSX", 32, 0, 0, 0, 6, 38
"d:\vite-npm\file-manager\src\lib\hooks\useContextMenu.tsx", "TypeScript JSX", 52, 0, 0, 0, 9, 61
"d:\vite-npm\file-manager\src\lib\hooks\useDirRename.tsx", "TypeScript JSX", 65, 0, 0, 0, 12, 77
"d:\vite-npm\file-manager\src\lib\hooks\useDragToggle.tsx", "TypeScript JSX", 42, 0, 0, 0, 6, 48
"d:\vite-npm\file-manager\src\lib\hooks\useFileChange.tsx", "TypeScript JSX", 205, 0, 0, 0, 15, 220
"d:\vite-npm\file-manager\src\lib\hooks\useFileCutAndCopy.ts", "TypeScript", 0, 101, 0, 0, 14, 115
"d:\vite-npm\file-manager\src\lib\hooks\useFileDragIn.ts", "TypeScript", 0, 33, 0, 0, 5, 38
"d:\vite-npm\file-manager\src\lib\hooks\useFilePuIn.ts", "TypeScript", 0, 49, 0, 6, 8, 63
"d:\vite-npm\file-manager\src\lib\hooks\useFileRename.tsx", "TypeScript JSX", 69, 0, 0, 0, 8, 77
"d:\vite-npm\file-manager\src\lib\hooks\useFileSelect.ts", "TypeScript", 0, 59, 0, 0, 8, 67
"d:\vite-npm\file-manager\src\lib\hooks\useFileSelectArea.tsx", "TypeScript JSX", 148, 0, 0, 4, 18, 170
"d:\vite-npm\file-manager\src\lib\hooks\useSelectedDel.ts", "TypeScript", 0, 33, 0, 0, 3, 36
"d:\vite-npm\file-manager\src\lib\hooks\useUploadProgress.tsx", "TypeScript JSX", 19, 0, 0, 0, 2, 21
"d:\vite-npm\file-manager\src\lib\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
