"filename", "language", "TypeScript", "TypeScript JSX", "Less", "comment", "blank", "total"
"d:\vite-npm\file-manager\src\lib\api\index.ts", "TypeScript", 90, 0, 0, 0, 11, 101
"d:\vite-npm\file-manager\src\lib\command\dir\copy.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"d:\vite-npm\file-manager\src\lib\command\dir\delete.ts", "TypeScript", 62, 0, 0, 0, 4, 66
"d:\vite-npm\file-manager\src\lib\command\dir\mkdir.ts", "TypeScript", 8, 0, 0, 0, 4, 12
"d:\vite-npm\file-manager\src\lib\command\dir\move.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"d:\vite-npm\file-manager\src\lib\command\dir\rename.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"d:\vite-npm\file-manager\src\lib\command\file\copy.ts", "TypeScript", 30, 0, 0, 0, 5, 35
"d:\vite-npm\file-manager\src\lib\command\file\delete.ts", "TypeScript", 64, 0, 0, 0, 4, 68
"d:\vite-npm\file-manager\src\lib\command\file\move.ts", "TypeScript", 30, 0, 0, 0, 5, 35
"d:\vite-npm\file-manager\src\lib\command\file\rename.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"d:\vite-npm\file-manager\src\lib\command\file\upload.ts", "TypeScript", 19, 0, 0, 1, 7, 27
"d:\vite-npm\file-manager\src\lib\components\Copy.tsx", "TypeScript JSX", 0, 23, 0, 0, 2, 25
"d:\vite-npm\file-manager\src\lib\components\DirTree.tsx", "TypeScript JSX", 0, 293, 0, 6, 27, 326
"d:\vite-npm\file-manager\src\lib\components\Empty.tsx", "TypeScript JSX", 0, 73, 0, 0, 2, 75
"d:\vite-npm\file-manager\src\lib\components\FileGridCard.tsx", "TypeScript JSX", 0, 263, 0, 2, 20, 285
"d:\vite-npm\file-manager\src\lib\components\FileGridList.tsx", "TypeScript JSX", 0, 7, 0, 0, 3, 10
"d:\vite-npm\file-manager\src\lib\components\FileList.tsx", "TypeScript JSX", 0, 24, 0, 1, 5, 30
"d:\vite-npm\file-manager\src\lib\components\Move.tsx", "TypeScript JSX", 0, 23, 0, 0, 2, 25
"d:\vite-npm\file-manager\src\lib\components\Provider.tsx", "TypeScript JSX", 0, 41, 0, 0, 2, 43
"d:\vite-npm\file-manager\src\lib\components\dirIcon.tsx", "TypeScript JSX", 0, 33, 0, 0, 2, 35
"d:\vite-npm\file-manager\src\lib\enum\file-action.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"d:\vite-npm\file-manager\src\lib\enum\file-status.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"d:\vite-npm\file-manager\src\lib\enum\index.ts", "TypeScript", 9, 0, 0, 7, 5, 21
"d:\vite-npm\file-manager\src\lib\hooks\useChooseFile.tsx", "TypeScript JSX", 0, 32, 0, 0, 6, 38
"d:\vite-npm\file-manager\src\lib\hooks\useContextMenu.tsx", "TypeScript JSX", 0, 52, 0, 0, 9, 61
"d:\vite-npm\file-manager\src\lib\hooks\useDirRename.tsx", "TypeScript JSX", 0, 65, 0, 2, 11, 78
"d:\vite-npm\file-manager\src\lib\hooks\useDragToggle.tsx", "TypeScript JSX", 0, 68, 0, 0, 6, 74
"d:\vite-npm\file-manager\src\lib\hooks\useFileChange.tsx", "TypeScript JSX", 0, 205, 0, 0, 15, 220
"d:\vite-npm\file-manager\src\lib\hooks\useFileCutAndCopy.ts", "TypeScript", 101, 0, 0, 0, 14, 115
"d:\vite-npm\file-manager\src\lib\hooks\useFileDragIn.ts", "TypeScript", 33, 0, 0, 0, 5, 38
"d:\vite-npm\file-manager\src\lib\hooks\useFilePuIn.ts", "TypeScript", 49, 0, 0, 6, 8, 63
"d:\vite-npm\file-manager\src\lib\hooks\useFileRename.tsx", "TypeScript JSX", 0, 69, 0, 0, 8, 77
"d:\vite-npm\file-manager\src\lib\hooks\useFileSelect.ts", "TypeScript", 59, 0, 0, 0, 8, 67
"d:\vite-npm\file-manager\src\lib\hooks\useFileSelectArea.tsx", "TypeScript JSX", 0, 151, 0, 4, 18, 173
"d:\vite-npm\file-manager\src\lib\hooks\useSelectedDel.ts", "TypeScript", 33, 0, 0, 0, 3, 36
"d:\vite-npm\file-manager\src\lib\hooks\useUploadProgress.tsx", "TypeScript JSX", 0, 19, 0, 0, 2, 21
"d:\vite-npm\file-manager\src\lib\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"d:\vite-npm\file-manager\src\lib\src\content.tsx", "TypeScript JSX", 0, 80, 0, 3, 13, 96
"d:\vite-npm\file-manager\src\lib\src\index.tsx", "TypeScript JSX", 0, 111, 0, 9, 9, 129
"d:\vite-npm\file-manager\src\lib\src\slider.tsx", "TypeScript JSX", 0, 106, 0, 0, 12, 118
"d:\vite-npm\file-manager\src\lib\src\toolbar.tsx", "TypeScript JSX", 0, 114, 0, 0, 13, 127
"d:\vite-npm\file-manager\src\lib\style\content.less", "Less", 0, 0, 117, 0, 10, 127
"d:\vite-npm\file-manager\src\lib\style\dir-tree.less", "Less", 0, 0, 66, 0, 13, 79
"d:\vite-npm\file-manager\src\lib\style\index.less", "Less", 0, 0, 147, 0, 19, 166
"d:\vite-npm\file-manager\src\lib\style\slider.less", "Less", 0, 0, 6, 0, 0, 6
"d:\vite-npm\file-manager\src\lib\style\toobar.less", "Less", 0, 0, 9, 0, 2, 11
"d:\vite-npm\file-manager\src\lib\types\drag.ts", "TypeScript", 6, 0, 0, 0, 4, 10
"d:\vite-npm\file-manager\src\lib\types\index.ts", "TypeScript", 69, 0, 0, 0, 8, 77
"d:\vite-npm\file-manager\src\lib\utils\area.ts", "TypeScript", 11, 0, 0, 5, 6, 22
"d:\vite-npm\file-manager\src\lib\utils\axios.ts", "TypeScript", 34, 0, 0, 2, 8, 44
"d:\vite-npm\file-manager\src\lib\utils\context.ts", "TypeScript", 13, 0, 0, 0, 4, 17
"d:\vite-npm\file-manager\src\lib\utils\contextmenuOption.ts", "TypeScript", 43, 0, 0, 0, 2, 45
"d:\vite-npm\file-manager\src\lib\utils\date.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"d:\vite-npm\file-manager\src\lib\utils\event.ts", "TypeScript", 34, 0, 0, 0, 7, 41
"d:\vite-npm\file-manager\src\lib\utils\extension.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"d:\vite-npm\file-manager\src\lib\utils\icon.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"d:\vite-npm\file-manager\src\lib\utils\minetype.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"d:\vite-npm\file-manager\src\lib\utils\pub-sub.ts", "TypeScript", 96, 0, 0, 4, 13, 113
"d:\vite-npm\file-manager\src\lib\utils\resize.ts", "TypeScript", 26, 0, 0, 0, 2, 28
"d:\vite-npm\file-manager\src\lib\utils\setDragTransfer.ts", "TypeScript", 49, 0, 0, 0, 8, 57
"d:\vite-npm\file-manager\src\lib\utils\size.ts", "TypeScript", 8, 0, 0, 0, 4, 12
"d:\vite-npm\file-manager\src\lib\utils\uid.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"Total", "-", 1049, 1852, 345, 52, 402, 3700
