"filename", "language", "TypeScript", "TypeScript JSX", "Less", "XML", "comment", "blank", "total"
"d:\vite-npm\file-manager\src\lib\api\index.ts", "TypeScript", 112, 0, 0, 0, 0, 13, 125
"d:\vite-npm\file-manager\src\lib\assets\vue.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\vite-npm\file-manager\src\lib\command\dir\copy.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"d:\vite-npm\file-manager\src\lib\command\dir\delete.ts", "TypeScript", 67, 0, 0, 0, 0, 5, 72
"d:\vite-npm\file-manager\src\lib\command\dir\mkdir.ts", "TypeScript", 16, 0, 0, 0, 0, 5, 21
"d:\vite-npm\file-manager\src\lib\command\dir\move.ts", "TypeScript", 22, 0, 0, 0, 4, 6, 32
"d:\vite-npm\file-manager\src\lib\command\dir\rename.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"d:\vite-npm\file-manager\src\lib\command\download.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 18
"d:\vite-npm\file-manager\src\lib\command\file\copy.ts", "TypeScript", 30, 0, 0, 0, 0, 5, 35
"d:\vite-npm\file-manager\src\lib\command\file\delete.ts", "TypeScript", 67, 0, 0, 0, 0, 4, 71
"d:\vite-npm\file-manager\src\lib\command\file\move.ts", "TypeScript", 30, 0, 0, 0, 0, 5, 35
"d:\vite-npm\file-manager\src\lib\command\file\rename.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"d:\vite-npm\file-manager\src\lib\command\file\upload.ts", "TypeScript", 29, 0, 0, 0, 1, 9, 39
"d:\vite-npm\file-manager\src\lib\command\tree-create.ts", "TypeScript", 71, 0, 0, 0, 1, 6, 78
"d:\vite-npm\file-manager\src\lib\components\DirTree.tsx", "TypeScript JSX", 0, 300, 0, 0, 6, 27, 333
"d:\vite-npm\file-manager\src\lib\components\FileDir.tsx", "TypeScript JSX", 0, 224, 0, 0, 4, 25, 253
"d:\vite-npm\file-manager\src\lib\components\FileGridCard.tsx", "TypeScript JSX", 0, 336, 0, 0, 3, 27, 366
